City,lat,lon
La Grande-Motte,43.5614,4.0858
Castelnaudary,43.3192,1.9544
Arlon,49.683,5.817
Jambes,50.45,4.86667
Sète,43.4053,3.6975
Fontainebleau,48.4097,2.7025
Tournai,50.60556,3.38806
Vals-les-Bains,44.6664,4.3669
Privas,44.7358,4.597
Ivrea,45.467,7.883
Cologne,50.93639,6.95278
Châteaulin,48.1975,-4.0886
La Baule,47.2867,-2.3908
Ax-les-Thermes,42.7203,1.8397
Hyères,43.1199,6.1316
Toulon,43.12583,5.93056
Peyrehorade,43.546,-1.097
Val d'Isère,45.4506,6.9781
Arbois,46.9036,5.7747
Herentals,51.183,4.833
Saint-Nazaire,47.27361,-2.21389
Antibes,43.5808,7.1239
Bourgoin,45.5861,5.2736
Pontoise,49.0516,2.1017
Chalon-sur-Saône,46.7806,4.8528
Namur,50.467,4.867
Puy de Dôme,45.77194,2.9625
Seurre,46.9992,5.1475
Ghent,51.05361,3.72528
Le Tréport,50.06,1.37
Bédoin,44.124,5.1805
Cannes,43.5513,7.0128
Montjuïc circuit,41.36639,2.15167
Barcelona ,41.38278,2.17694
Zürich,47.37444,8.54111
Châtellerault,46.8178,0.5461
Amsterdam,52.37278,4.89361
Beveren,51.2,4.25
Aix les Bains,45.6885,5.9153
Epinal,48.1744,6.4512
St. Etienne,45.4347,4.3903
Vichy,46.1278,3.4267
La Guerche-de-Bretagne,47.9422,-1.2286
St. Brieuc,48.5136,-2.7653
Niort,46.3258,-0.4606
Menton,43.775,7.5
Boulogne-sur-Mer,50.7264,1.6147
Aosta,45.733,7.317
Sanremo,43.8175,7.775
Dôle,47.0931,5.4906
La Roche-sur-Yon,46.6705,-1.426
Arcachon,44.65,-1.17
Laon,49.5639,3.6244
Lons-le-Saunier,46.6744,5.5539
Champagnole,46.7481,5.9078
La Roche sur Yon,46.6705,-1.426
Malo-les-Bains,51.0383,2.3775
Les Sables d'Olonne,46.4972,-1.7833
Dunkerque,51.0383,2.3775
Mülhausen,47.75,7.34
Longwy,49.52,5.7606
Douai,50.3714,3.08
La Planche des Belles Filles,47.77222,6.77778
Nuits-Saint-Georges,47.1383,4.9511
Peyragudes,42.79,0.445
Romans-sur-Isère,45.0464,5.0517
Col d'Izoard,44.81972,6.735
Salon-de-Provence,43.6406,5.0972
Utah Beach,49.41806,-1.17639
Cherbourg-en-Cotentin,49.639,-1.625
Le Lioran,45.0459,2.45
Lac de Payolle,42.93444,0.29722
Chalet Reynard,44.1525,5.31917
Villars-les-Dombes,45.9989,5.0299
Culoz,45.85,5.78
Saint Gervais-les-Bains,45.8933,6.7139
Zeeland,51.567,3.75
Mûr-de-Bretagne,48.2008,-2.9847
Plateau de Beille,42.725333,1.690875
Pra-Loup,44.369,6.601
Harrogate,53.99194,-1.53778
Sheffield,53.38083,-1.47028
Lille Metropole,50.63722,3.06306
Oyonnax,46.2561,5.6556
Chamrousse,45.1092,5.8744
Risoul,44.6497,6.6408
Hautacam,42.972222,-0.008056
Ax 3 Domaines,42.70083,1.81389
Saint-Amand-Montrond,46.7,2.51
Mont Ventoux,44.17444,5.27889
Chorges,44.5464,6.2772
Semnoz,45.79722,6.10472
Porrentruy,47.417,7.083
Bellegarde-sur-Valserine,46.1083,5.8267
Chartres,48.456,1.484
Mont des Alouettes,46.89472,-1.01028
Redon,47.6522,-2.0836
Cap Fréhel,48.683,-2.317
Châteauroux,46.8103,1.6911
Super Besse,45.5107,2.85675
Carmaux,44.05,2.1589
Gueugnon,46.6019,4.0617
Bourg-lès-Valence,44.9486,4.8961
Col du Tourmalet,42.908194,0.145111
Pauillac,45.1999,-0.7488
Brignoles,43.4058,6.0615
Issoudun,46.9608,1.9944
Saint-Fargeau,47.6417,3.0719
Verbier,46.1,7.217
Aubenas,44.6206,4.3911
Prato Nevoso,44.2566972,7.78905
Jausiers,44.4186,6.7314
Canterbury,51.28,1.08
Joigny,47.9831,3.3978
Autun,46.9517,4.2994
Tignes,45.4683,6.9056
Plateau-de-Beille,42.725333,1.690875
Loudenvielle,42.7972,0.4119
La Toussuire,45.2472222222,6.30305555556
Noirmoutier-en-l'Île,47.0044,-2.2533
Guéret,46.1714,1.8692
La Mongie,42.91,0.17917
Meaux,48.9603,2.8883
Saint-Dizier,48.6383,4.9497
Saint-Maixent-l'École,46.4136,-0.2069
Saarbrücken,49.233,7.0
Château-Thierry,49.04,3.4
Bar-le-Duc,48.7719,5.1603
Plateau de Bonascre,42.70083,1.81389
Sarran,45.4094,1.9392
Villeneuve-sur-Lot,44.4081,0.705
Maubeuge,50.2775,3.9734
Thionville,49.3589,6.1692
Piau-Engaly,42.783895,0.158403
Corrèze,45.333,1.833
Le Cap d'Agde,43.28417,3.50056
Neuchâtel,47.0,6.933
Les Arcs,45.57167,6.80778
Lannion,48.7333,-3.4542
L'Alpe d'Huez,45.06028,6.07139
Guzet-Neige,42.78722,1.29861
Armentières,50.6881,2.8811
Brighton,50.82083,-0.1375
Trélissac,45.1967,0.7833
Val Thorens,45.29806,6.58
Avoriaz,46.19083,6.775
Lac Saint-Point,46.81528,6.31389
Isola 2000,44.18667,7.15833
Montlhéry,48.6392,2.2722
Koblenz,50.35972,7.59778
Chassieu,45.745,4.966
Saint-Herblain,47.2122,-1.6497
Val-Louron,42.7903,0.3897
L'Isle-d'Abeau,45.6233,5.2305
Machecoul,46.9939,-1.8217
Ancenis,47.3733,-1.2936
Épinay-sous-Sénart,48.6948,2.5147
Renazé,47.7942,-1.0569
Chaumeil,45.4569,1.8825
Saint-Quentin-en-Yvelines,48.7881,2.0446
Pont-Audemer,49.35639,0.51556
Lans-en-Vercors,45.1292,5.5892
Aubisque,42.97667,-0.33972
Noisy-le-Sec,48.8894,2.4503
La Ruchère,45.4381,5.7747
Villefranche-sur-Saône,45.9833,4.7167
Fontaine-au-Pire,50.1306,3.3756
Île d'Oléron,45.925,-1.2825
Möhlin,47.55,7.85
Mouscron,50.733,3.217
Aulnay-sous-Bois,48.9386,2.4906
Pla d'Adet,42.8152,0.2918
Circuit Zolder,50.98889,5.25556
Hasselt,50.93,5.3375
Le Pleynet,45.2557,5.9931
Laplume,44.1128,0.5322
Prapoutel,45.2557,5.9931
Ballon d'Alsace,47.82222,6.84528
Saint-Germain-en-Laye,48.8989,2.0938
Senlis,49.2081,2.5875
Bornem,51.1,4.233
Super-Lioran,45.0459,2.45
Saint-Pol-de-Léon,48.6861,-3.985
Méribel,45.3967306,6.5662694
Les Orres,44.5147,6.5514
Argelès-sur-Mer,42.5449,3.0235
Le Revard,45.68194,5.97556
Ballon d’Alsace,47.82222,6.84528
Marche-en-Famenne,50.217,5.333
Le Touquet,50.5186,1.595
Mers-les-Bains,50.0681,1.3886
Mont-Ventoux,44.17444,5.27889
Brasschaat,51.3,4.5
Dole,47.0892,5.4913
Pau,43.2951,-0.3707
Saint-Girons,42.9833,1.1000
Embrun,44.5494,6.4944
Granville,48.8328,-1.5833
L'Isle-Jourdain,43.6378,1.0403
Vielha Val d'Aran,42.6986,0.8269
Chantilly,49.1845,2.4750
Mende,44.5078,3.5056
Gap,44.5592,6.0787
Saint-Gaudens,43.1031,0.7225
Maubourguet Pays du Val d’Adour,43.3433,0.2631
Bergerac,44.8542,0.4794
Évry,48.6333,2.4500
Bonneval,48.3342,1.3969
Les Essarts,46.7600,-1.4145
Revel,43.4219,1.8431
Vatan,47.0111,1.6592
Tonnerre,47.8131,3.9969
Brest,48.3904,-4.4861
Cérilly,46.5324,3.4333
Waregem - Compiègne,50.8536,3.2644
Cognac,45.6944,-0.3297
Saint Grégoire,48.1356,-1.6292
Antony/Parc de Sceaux,48.7733,2.2975
Chambord,47.6167,1.5172
Waterloo,50.7167,4.4000
Saint-Denis,48.9333,2.3667
Dax,43.7106,-1.0500
Vitré,48.1403,-1.2081
Montaigu,46.9644,-1.2883
Laval,48.0686,-0.7667
